League,Degree,whyplay,Age,GAD_T
Silver,High School,improving,20,3
Diamond,High School,improving,19,4
Gold,High School,winning,20,1
Gold,Bachelor,having fun,22,2
Diamond,High School,having fun,24,12
Silver,High School,having fun,19,5
Gold,Bachelor,having fun,25,4
Gold,Bachelor,having fun,23,0
Silver,High School,improving,19,3
Gold,High School,winning,23,8
Platinum,High School,having fun,20,3
Silver,None,having fun,18,5
Silver,High School,having fun,18,6
Diamond,Master,improving,22,11
Gold,Bachelor,improving,31,7
Silver,High School,winning,19,5
Platinum,Bachelor,having fun,23,3
Gold,High School,having fun,23,2
Gold,High School,winning,21,13
Platinum,High School,having fun,19,1
Silver,None,improving,18,6
Diamond,High School,improving,21,0
Platinum,Bachelor,improving,25,5
Silver,High School,having fun,19,1
Platinum,High School,improving,21,3
Platinum,High School,winning,19,4
Platinum,High School,improving,18,1
Gold,High School,improving,18,0
Silver,High School,having fun,18,1
Diamond,High School,having fun,19,1
Platinum,High School,improving,19,12
Platinum,Bachelor,improving,23,1
Silver,Bachelor,improving,26,4
Platinum,High School,improving,26,1
Silver,Bachelor,having fun,23,13
Diamond,None,having fun,18,0
Silver,High School,improving,19,9
Unranked,High School,having fun,30,2
Diamond,High School,having fun,22,2
Gold,Bachelor,improving,27,5
Diamond,High School,improving,20,1
Platinum,High School,improving,19,5
Silver,High School,having fun,19,3
Silver,High School,improving,19,9
Silver,High School,improving,23,1
Gold,None,winning,18,10
Bronze,High School,improving,18,15
Platinum,Bachelor,having fun,19,3
Silver,High School,improving,20,5
Diamond,High School,having fun,19,0
Diamond,High School,improving,22,1
Gold,High School,improving,18,2
Gold,High School,having fun,21,10
Gold,Bachelor,winning,35,15
Platinum,High School,improving,18,21
Platinum,Bachelor,improving,24,4
Platinum,None,improving,18,3
Silver,Bachelor,relaxing,29,4
Silver,High School,having fun,21,9
Diamond,High School,winning,19,3
Gold,Master,improving,30,4
Gold,High School,having fun,21,5
Silver,High School,winning,21,8
Platinum,None,winning,18,5
Gold,High School,having fun,19,2
Gold,High School,relaxing,20,4
Diamond,High School,improving,19,1
Platinum,High School,having fun,24,4
Gold,None,having fun,20,13
Diamond,High School,having fun,19,1
Platinum,High School,winning,20,9
Platinum,High School,winning,18,2
Platinum,High School,winning,18,5
Silver,High School,improving,18,3
Silver,High School,improving,21,8
Gold,Bachelor,having fun,21,7
Gold,High School,relaxing,19,4
Gold,High School,having fun,20,9
Silver,Bachelor,having fun,27,8
Gold,High School,having fun,20,3
Diamond,None,having fun,19,10
Silver,Master,improving,24,11
Platinum,None,having fun,19,3
Bronze,High School,having fun,19,13
Gold,High School,winning,18,3
Diamond,High School,having fun,20,0
Platinum,High School,improving,19,2
Diamond,High School,having fun,21,2
Gold,Bachelor,having fun,18,3
Gold,High School,improving,22,3
Diamond,Bachelor,having fun,25,4
Unranked,Bachelor,improving,29,0
Silver,High School,improving,18,4
Silver,Bachelor,improving,21,4
Platinum,High School,having fun,21,1
Bronze,High School,having fun,28,3
Gold,Bachelor,relaxing,25,8
Gold,Bachelor,improving,29,2
Platinum,High School,having fun,20,1
Gold,High School,winning,18,2
Silver,High School,having fun,18,0
Silver,High School,having fun,19,7
Platinum,None,having fun,18,3
Platinum,None,having fun,18,3
Diamond,High School,improving,20,8
Diamond,High School,winning,19,6
Gold,None,improving,20,0
Gold,None,winning,23,3
Gold,High School,having fun,19,9
Diamond,High School,improving,22,5
Diamond,Bachelor,improving,25,3
Gold,High School,winning,23,0
Unranked,High School,having fun,19,6
Gold,High School,winning,19,6
Gold,High School,having fun,19,3
Gold,High School,winning,20,0
Gold,High School,winning,20,2
Platinum,High School,having fun,18,8
Platinum,High School,having fun,20,7
Silver,High School,having fun,18,4
Diamond,High School,having fun,22,4
Silver,None,winning,42,13
Bronze,Bachelor,having fun,23,5
Platinum,High School,having fun,20,1
Gold,High School,improving,19,3
Platinum,High School,having fun,18,17
Silver,Bachelor,having fun,24,4
Diamond,High School,improving,21,0
Diamond,Bachelor,improving,21,6
Gold,High School,improving,18,4
Bronze,High School,having fun,19,17
Silver,Bachelor,improving,31,20
Silver,None,improving,18,4
Unranked,High School,having fun,20,2
Platinum,Bachelor,having fun,24,16
Silver,Bachelor,having fun,26,2
Diamond,None,having fun,20,21
Platinum,High School,winning,25,21
Gold,High School,having fun,18,8
Diamond,High School,having fun,18,3
Silver,High School,having fun,18,6
Silver,High School,improving,19,1
Gold,High School,improving,20,0
Gold,None,having fun,18,3
Diamond,High School,improving,24,1
Silver,None,improving,18,7
Diamond,Master,improving,23,4
Platinum,None,winning,19,1
Platinum,Doctor,improving,23,1
Platinum,High School,relaxing,23,8
Gold,High School,relaxing,18,12
Platinum,None,having fun,18,5
Unranked,Master,relaxing,24,10
Silver,High School,improving,19,9
Silver,High School,improving,18,5
Silver,High School,improving,18,5
Diamond,High School,improving,22,4
Gold,Bachelor,winning,24,6
Platinum,High School,improving,19,6
Diamond,Bachelor,improving,26,0
Gold,High School,having fun,19,0
Diamond,High School,winning,18,1
Gold,None,improving,28,3
Gold,High School,having fun,20,13
Bronze,Master,improving,25,1
Platinum,High School,improving,18,3
Bronze,Bachelor,improving,23,7
Platinum,Master,having fun,24,0
Diamond,Master,having fun,23,0
Diamond,Master,having fun,27,0
Silver,High School,improving,21,7
Platinum,Master,winning,25,5
Diamond,Doctor,having fun,25,1
Silver,High School,having fun,23,11
Diamond,High School,having fun,18,11
Platinum,High School,improving,22,2
Platinum,Master,winning,25,5
Bronze,Master,improving,42,5
Gold,Bachelor,having fun,28,17
Silver,High School,winning,20,18
Silver,None,relaxing,18,3
Platinum,High School,improving,21,3
Silver,High School,having fun,20,11
Diamond,High School,winning,20,0
Silver,High School,having fun,18,21
Platinum,High School,improving,21,4
Gold,None,having fun,24,2
Gold,None,improving,18,3
Diamond,High School,winning,19,2
Gold,High School,winning,19,2
Platinum,High School,improving,20,8
Gold,High School,having fun,24,3
Gold,Bachelor,having fun,22,11
Gold,Master,having fun,24,3
Diamond,High School,improving,21,8
Bronze,Bachelor,improving,20,13
Platinum,High School,improving,18,0
Platinum,High School,having fun,19,4
Diamond,Master,improving,18,12
Diamond,None,winning,20,9
Platinum,None,improving,18,3
Silver,High School,winning,21,0
Gold,High School,having fun,18,0
Silver,High School,improving,20,2
Gold,High School,having fun,26,5
Platinum,Bachelor,having fun,18,0
Silver,Bachelor,having fun,19,9
Diamond,High School,having fun,18,2
Bronze,Bachelor,winning,25,14
Silver,High School,having fun,18,3
Unranked,High School,having fun,21,11
Gold,None,improving,18,11
Silver,Bachelor,having fun,21,6
Gold,High School,winning,21,2
Diamond,Master,improving,24,2
Platinum,High School,having fun,18,1
Diamond,Master,improving,22,4
Platinum,None,winning,18,6
Diamond,None,improving,20,5
Bronze,None,improving,18,16
Diamond,Bachelor,improving,18,2
Gold,Bachelor,having fun,19,2
Silver,High School,having fun,18,6
Gold,High School,relaxing,19,6
Diamond,None,improving,18,7
Platinum,High School,improving,20,10
Platinum,High School,improving,21,2
Silver,None,having fun,18,13
Gold,High School,having fun,21,3
Platinum,High School,having fun,18,4
Silver,None,having fun,18,13
Platinum,High School,relaxing,18,6
Platinum,High School,relaxing,18,0
Bronze,None,improving,18,3
Diamond,High School,having fun,19,0
Diamond,High School,winning,18,3
Silver,High School,improving,18,4
Platinum,Bachelor,improving,24,2
Platinum,High School,improving,18,5
Gold,High School,having fun,22,3
Platinum,High School,winning,24,6
Platinum,Master,improving,32,21
Platinum,None,improving,18,1
Platinum,High School,improving,21,3
Platinum,High School,improving,18,8
Silver,High School,improving,20,1
Platinum,High School,having fun,18,2
Unranked,High School,relaxing,19,8
Silver,None,having fun,18,16
Platinum,High School,improving,22,1
Unranked,Bachelor,having fun,24,7
Platinum,High School,improving,21,1
Platinum,High School,having fun,19,1
Gold,High School,improving,18,11
Platinum,High School,winning,23,11
Gold,High School,having fun,21,0
Silver,High School,winning,19,2
Gold,High School,improving,18,0
Gold,High School,having fun,18,2
Silver,High School,having fun,18,3
Bronze,High School,improving,20,0
Silver,High School,relaxing,20,1
Gold,Bachelor,winning,27,6
Platinum,High School,improving,22,9
Platinum,High School,improving,18,7
Gold,Bachelor,improving,21,12
Gold,High School,having fun,18,6
Platinum,High School,having fun,22,7
Platinum,High School,improving,20,19
Gold,High School,having fun,20,0
Diamond,High School,having fun,18,11
Silver,High School,improving,22,4
Silver,High School,having fun,20,1
Platinum,High School,improving,21,1
Platinum,Bachelor,improving,18,3
Gold,None,improving,18,3
Gold,High School,having fun,21,1
Silver,Bachelor,improving,27,3
Silver,Bachelor,winning,24,3
Silver,High School,winning,18,8
Silver,High School,improving,18,3
Gold,High School,winning,19,8
Bronze,High School,having fun,18,14
Platinum,High School,having fun,20,7
Platinum,High School,relaxing,20,6
Platinum,Bachelor,winning,23,7
Platinum,Bachelor,improving,21,0
Diamond,High School,having fun,23,4
Platinum,None,improving,18,4
Unranked,Bachelor,having fun,27,3
Gold,None,having fun,19,9
Gold,High School,having fun,24,2
Platinum,High School,relaxing,18,9
Diamond,Bachelor,improving,21,15
Bronze,High School,winning,18,3
Silver,High School,winning,18,17
Platinum,High School,winning,20,19
Diamond,High School,winning,19,17
Gold,Bachelor,winning,26,5
Gold,High School,having fun,19,5
Platinum,Bachelor,winning,26,2
Platinum,High School,having fun,22,12
Silver,High School,having fun,19,2
Diamond,None,having fun,18,1
Platinum,None,improving,18,0
Unranked,None,having fun,18,6
Gold,Bachelor,having fun,25,1
Silver,High School,having fun,21,4
Silver,High School,relaxing,20,7
Platinum,High School,improving,19,3
Gold,High School,having fun,21,6
Gold,High School,winning,22,3
Silver,High School,having fun,19,3
Silver,High School,improving,21,8
Gold,Bachelor,relaxing,20,3
Platinum,High School,having fun,18,6
Gold,Bachelor,improving,22,1
Gold,Bachelor,having fun,23,4
Gold,Bachelor,having fun,21,3
Diamond,High School,having fun,21,3
Gold,Bachelor,improving,29,11
Silver,High School,having fun,18,0
Silver,High School,winning,18,2
Bronze,High School,winning,18,13
Gold,Bachelor,winning,21,8
Platinum,High School,winning,22,0
Gold,None,improving,20,5
Gold,High School,having fun,20,1
Diamond,None,winning,18,4
Gold,High School,having fun,23,1
Platinum,High School,winning,18,7
Platinum,Bachelor,having fun,22,5
Platinum,Bachelor,improving,25,7
Diamond,High School,having fun,20,1
Gold,High School,having fun,18,1
Gold,High School,winning,19,3
Silver,Bachelor,improving,22,3
Diamond,Bachelor,winning,25,2
Silver,High School,improving,28,3
Bronze,Bachelor,having fun,27,0
Platinum,High School,having fun,20,4
Bronze,High School,having fun,20,13
Gold,None,having fun,18,4
Diamond,None,improving,18,3
Gold,None,winning,18,2
Silver,High School,improving,25,6
Gold,High School,winning,22,1
Silver,High School,having fun,19,2
Silver,High School,relaxing,18,14
Gold,Bachelor,having fun,32,3
Platinum,High School,having fun,22,14
Gold,High School,winning,24,3
Gold,High School,improving,18,0
Gold,None,improving,18,7
Gold,High School,improving,22,2
Silver,Bachelor,having fun,19,4
Gold,High School,improving,20,11
Diamond,None,improving,19,4
Silver,High School,improving,21,13
Gold,High School,having fun,19,1
Silver,High School,improving,18,14
Bronze,High School,improving,19,6
Silver,High School,improving,21,3
Gold,High School,improving,20,12
Gold,High School,having fun,23,10
Silver,High School,improving,19,4
Gold,High School,winning,23,7
Silver,High School,having fun,19,2
Silver,Bachelor,having fun,28,0
Platinum,High School,winning,18,0
Gold,High School,improving,21,1
Gold,Master,winning,25,12
Gold,None,having fun,19,6
Gold,High School,having fun,19,1
Platinum,High School,improving,18,3
Platinum,None,improving,18,1
Platinum,None,winning,18,5
Silver,Bachelor,improving,30,0
Bronze,High School,improving,24,11
Diamond,Bachelor,having fun,23,2
Diamond,High School,improving,18,4
Bronze,High School,having fun,21,5
Gold,Bachelor,improving,24,9
Gold,Bachelor,winning,24,6
Bronze,None,improving,27,3
Gold,High School,winning,26,3
Gold,None,improving,19,20
Gold,Bachelor,improving,21,1
Bronze,High School,having fun,29,0
Gold,Bachelor,having fun,22,3
Gold,High School,improving,21,5
Gold,High School,having fun,20,1
Gold,Bachelor,relaxing,23,13
Platinum,Bachelor,improving,21,6
Silver,High School,having fun,18,1
Gold,High School,improving,21,7
Platinum,None,having fun,18,1
Silver,High School,improving,19,3
Diamond,High School,having fun,18,1
Diamond,Bachelor,having fun,21,0
Silver,High School,having fun,18,3
Gold,None,improving,18,6
Diamond,Master,improving,23,3
Diamond,High School,improving,22,21
Gold,High School,having fun,19,3
Gold,Master,having fun,26,2
Gold,None,having fun,19,14
Platinum,None,improving,19,4
Platinum,None,having fun,21,4
Gold,High School,having fun,22,0
Gold,Master,having fun,24,2
Platinum,High School,having fun,23,3
Diamond,High School,improving,19,6
Gold,High School,improving,26,2
Silver,High School,relaxing,18,13
Silver,High School,having fun,18,2
Bronze,High School,having fun,18,3
Silver,High School,having fun,20,8
Diamond,High School,winning,22,2
Silver,Bachelor,winning,23,12
Silver,High School,having fun,19,7
Unranked,High School,having fun,20,6
Gold,Bachelor,having fun,23,8
Gold,Bachelor,having fun,19,3
Diamond,High School,winning,18,5
Gold,Bachelor,improving,21,19
Gold,High School,having fun,19,6
Bronze,High School,having fun,19,3
Bronze,High School,having fun,18,3
Unranked,High School,having fun,20,0
Diamond,High School,having fun,21,4
Platinum,Bachelor,having fun,18,3
Diamond,High School,improving,18,5
Gold,None,winning,18,5
Silver,High School,having fun,20,10
Platinum,High School,having fun,20,12
Silver,Bachelor,having fun,23,3
Platinum,High School,improving,18,5
Diamond,None,having fun,18,11
Gold,High School,having fun,19,2
Gold,None,improving,18,1
Gold,Bachelor,winning,21,1
Diamond,Bachelor,improving,19,21
Bronze,High School,having fun,23,4
Gold,Bachelor,improving,27,0
Silver,High School,winning,18,10
Silver,High School,having fun,19,16
Diamond,High School,having fun,19,3
Gold,High School,having fun,20,4
Gold,High School,improving,22,2
Platinum,Bachelor,improving,19,6
Gold,High School,having fun,22,6
Gold,High School,relaxing,23,10
Silver,Bachelor,having fun,25,9
Silver,Bachelor,improving,28,0
Platinum,None,having fun,21,2
Gold,Master,improving,32,3
Diamond,High School,having fun,19,2
Diamond,Bachelor,improving,22,4
Platinum,High School,relaxing,22,3
Diamond,None,having fun,18,0
Silver,Bachelor,winning,28,3
Platinum,High School,winning,18,10
Diamond,High School,having fun,18,1
Gold,High School,having fun,20,6
Silver,High School,having fun,18,2
Unranked,High School,having fun,19,6
Silver,Bachelor,improving,24,1
Silver,High School,having fun,18,15
Gold,Bachelor,improving,27,0
Platinum,None,improving,18,2
Gold,High School,relaxing,25,4
Platinum,Bachelor,improving,18,8
Platinum,None,improving,18,7
Unranked,Bachelor,improving,20,6
Gold,High School,improving,21,3
Silver,High School,having fun,19,8
Diamond,High School,relaxing,19,2
Platinum,Doctor,improving,35,0
Platinum,High School,having fun,20,8
Bronze,Bachelor,having fun,20,1
Gold,High School,having fun,20,2
Gold,High School,improving,18,3
Gold,High School,relaxing,20,0
Gold,High School,having fun,21,6
Bronze,None,having fun,18,2
Diamond,High School,winning,23,7
Gold,High School,improving,20,7
Silver,High School,having fun,23,1
Platinum,Bachelor,improving,26,1
Platinum,High School,having fun,19,3
Platinum,Master,winning,18,14
Bronze,None,having fun,18,4
Gold,Bachelor,improving,20,9
Silver,Bachelor,relaxing,22,11
Silver,High School,improving,21,3
Platinum,Master,improving,25,6
Bronze,Bachelor,improving,32,21
Silver,None,winning,18,12
Platinum,None,having fun,19,0
Gold,High School,improving,22,12
Unranked,Bachelor,having fun,22,2
Platinum,High School,improving,20,3
Diamond,Bachelor,winning,18,1
Unranked,Bachelor,having fun,21,13
Diamond,Bachelor,having fun,21,1
Bronze,High School,having fun,20,1
Gold,High School,improving,25,5
Platinum,High School,improving,19,4
Unranked,High School,improving,21,4
Bronze,High School,improving,22,7
Gold,Bachelor,winning,21,8
Silver,High School,improving,21,0
Platinum,Bachelor,winning,21,7
Platinum,None,having fun,18,4
Gold,High School,improving,21,11
Platinum,High School,having fun,19,10
Gold,High School,having fun,20,1
Gold,High School,having fun,23,1
Platinum,None,having fun,18,5
Gold,High School,winning,22,4
Platinum,Bachelor,improving,26,3
Silver,High School,having fun,23,11
Gold,None,having fun,18,1
Silver,High School,having fun,20,1
Platinum,None,winning,18,4
Platinum,High School,having fun,18,0
Silver,High School,improving,20,3
Gold,High School,improving,24,6
Unranked,High School,having fun,20,6
Silver,None,having fun,18,2
Silver,None,having fun,18,2
Unranked,None,improving,18,1
Silver,High School,winning,19,5
Platinum,Bachelor,winning,23,6
Silver,Bachelor,having fun,21,12
Unranked,High School,improving,23,2
Gold,None,improving,18,10
Silver,High School,improving,21,14
Platinum,None,improving,18,6
Diamond,High School,improving,22,7
Platinum,High School,having fun,19,2
Gold,High School,improving,19,1
Diamond,None,improving,18,4
Silver,Bachelor,improving,23,1
Platinum,High School,improving,20,6
Diamond,Bachelor,improving,20,10
Diamond,None,winning,18,8
Platinum,Bachelor,improving,20,4
Diamond,High School,having fun,20,3
Platinum,High School,winning,25,2
Silver,High School,relaxing,18,11
Platinum,Bachelor,having fun,22,5
Silver,Master,having fun,31,2
Gold,High School,having fun,20,8
Gold,High School,having fun,21,6
Platinum,High School,improving,18,2
Diamond,Doctor,improving,20,7
Gold,High School,having fun,18,3
Gold,Bachelor,improving,32,13
Silver,Bachelor,improving,24,0
Bronze,High School,having fun,23,0
Platinum,High School,having fun,21,5
Gold,High School,improving,20,15
Gold,Master,improving,23,13
Silver,High School,having fun,21,13
Gold,Bachelor,having fun,18,1
Gold,High School,improving,27,0
Platinum,High School,winning,26,4
Diamond,Bachelor,improving,25,6
Silver,None,winning,29,0
Diamond,High School,winning,21,3
Diamond,Bachelor,improving,24,13
Bronze,None,improving,18,16
Gold,High School,improving,21,6
Silver,High School,winning,20,3
Diamond,Bachelor,improving,18,5
Gold,High School,improving,26,13
Silver,High School,improving,19,2
Silver,High School,winning,19,2
Silver,High School,winning,20,10
Platinum,High School,improving,18,3
Diamond,Bachelor,improving,20,5
Platinum,Bachelor,having fun,19,2
Platinum,High School,winning,18,13
Silver,High School,improving,20,2
Platinum,High School,improving,19,4
Silver,High School,having fun,21,7
Silver,Bachelor,winning,21,2
Gold,High School,winning,20,3
Platinum,High School,having fun,18,9
Diamond,None,winning,18,9
Diamond,High School,relaxing,20,8
Unranked,Master,having fun,27,11
Diamond,High School,having fun,18,0
Silver,High School,having fun,22,4
Platinum,None,winning,18,2
Platinum,High School,having fun,19,9
Diamond,High School,improving,21,6
Gold,High School,having fun,23,2
Gold,Bachelor,improving,25,10
Platinum,High School,having fun,18,3
Platinum,None,winning,18,10
Platinum,High School,improving,19,6
Gold,High School,improving,35,0
Gold,High School,winning,24,1
Unranked,High School,winning,21,6
Platinum,High School,having fun,20,17
Gold,High School,winning,18,1
Platinum,High School,improving,18,0
Platinum,High School,having fun,27,0
Gold,High School,having fun,24,3
Gold,None,improving,18,0
Diamond,None,improving,20,2
Diamond,High School,having fun,18,9
Silver,High School,improving,19,0
Gold,High School,winning,21,3
Platinum,High School,having fun,29,1
Silver,High School,having fun,19,3
Silver,Bachelor,having fun,21,11
Gold,High School,having fun,21,0
Gold,Bachelor,improving,21,3
Silver,None,improving,18,13
Diamond,High School,winning,20,0
Silver,High School,improving,23,7
Silver,High School,improving,34,7
Diamond,High School,having fun,20,1
Gold,Master,having fun,29,10
Diamond,High School,improving,18,7
Diamond,Master,winning,27,0
Diamond,High School,improving,18,2
Platinum,High School,having fun,22,1
Diamond,High School,improving,20,11
Platinum,High School,winning,20,1
Silver,High School,winning,22,4
Diamond,Bachelor,improving,21,5
Platinum,Bachelor,having fun,27,0
Gold,High School,relaxing,18,3
Silver,High School,having fun,18,5
Gold,Bachelor,improving,19,5
Platinum,None,improving,19,4
Gold,High School,having fun,18,1
Gold,High School,having fun,18,3
Silver,High School,having fun,19,11
Silver,None,improving,18,1
Gold,High School,having fun,18,1
Gold,High School,having fun,19,1
Silver,High School,having fun,18,3
Platinum,High School,improving,19,2
Silver,Bachelor,having fun,25,3
Platinum,None,winning,18,7
Platinum,Bachelor,having fun,24,0
Diamond,High School,improving,19,5
Gold,High School,having fun,18,3
Gold,High School,improving,18,0
Gold,High School,improving,20,0
Silver,High School,relaxing,21,3
Platinum,Bachelor,improving,20,2
Silver,Bachelor,having fun,26,2
Platinum,None,improving,18,5
Bronze,Bachelor,improving,24,4
Gold,High School,improving,22,3
Diamond,None,improving,18,3
Gold,High School,winning,19,6
Gold,High School,winning,20,0
Bronze,Bachelor,having fun,24,6
Silver,High School,having fun,20,0
Diamond,None,improving,18,1
Gold,Doctor,improving,26,3
Silver,High School,having fun,18,14
Diamond,Bachelor,winning,22,0
Silver,None,improving,18,1
Unranked,High School,having fun,19,7
Diamond,High School,improving,23,2
Gold,High School,having fun,18,4
Platinum,None,winning,19,12
Platinum,High School,winning,22,1
Silver,High School,having fun,25,12
Platinum,High School,relaxing,18,8
Bronze,High School,relaxing,18,10
Silver,High School,having fun,18,2
Unranked,High School,improving,21,2
Diamond,Bachelor,relaxing,22,4
Gold,High School,improving,22,2
Silver,High School,winning,19,5
Gold,High School,relaxing,25,3
Platinum,High School,having fun,18,2
Bronze,High School,improving,18,8
Gold,Bachelor,relaxing,24,3
Gold,High School,winning,18,2
Platinum,High School,improving,18,14
Silver,Bachelor,improving,38,2
Gold,High School,improving,19,3
Platinum,High School,having fun,22,1
Diamond,High School,improving,21,8
Silver,Bachelor,improving,18,11
Gold,High School,improving,21,3
Unranked,Bachelor,having fun,25,2
Gold,Master,having fun,21,2
Gold,High School,having fun,26,3
Diamond,High School,improving,24,4
Silver,High School,improving,25,0
Platinum,Bachelor,having fun,24,8
Silver,Bachelor,winning,34,2
Silver,High School,having fun,18,0
Silver,None,improving,18,2
Platinum,High School,improving,19,0
Silver,High School,having fun,20,9
Platinum,Bachelor,having fun,24,3
Gold,None,winning,18,13
Gold,Bachelor,relaxing,28,3
Platinum,High School,having fun,21,10
Bronze,High School,having fun,18,6
Gold,Bachelor,having fun,26,15
Silver,High School,having fun,18,1
Gold,None,improving,18,4
Gold,Master,having fun,25,1
Silver,None,having fun,18,8
Platinum,High School,winning,22,2
Platinum,High School,winning,19,3
Silver,Bachelor,having fun,23,6
Gold,Bachelor,having fun,24,10
Silver,High School,improving,18,1
Diamond,High School,improving,22,3
Platinum,High School,improving,19,4
Silver,Bachelor,improving,20,9
Platinum,Bachelor,improving,26,2
Platinum,None,winning,18,3
Diamond,Bachelor,winning,18,6
Gold,Bachelor,improving,26,5
Gold,High School,having fun,25,4
Gold,High School,having fun,20,2
Gold,High School,having fun,20,1
Platinum,High School,improving,20,18
Silver,High School,improving,18,6
Platinum,High School,winning,20,5
Diamond,Bachelor,having fun,22,3
Diamond,Bachelor,improving,21,6
Gold,High School,improving,19,2
Gold,None,winning,18,14
Platinum,High School,winning,19,6
Gold,Bachelor,improving,26,3
Gold,High School,having fun,24,0
Gold,High School,relaxing,18,1
Gold,High School,improving,24,1
Bronze,High School,having fun,20,0
Platinum,Master,improving,18,12
Gold,High School,having fun,20,4
Silver,High School,having fun,18,0
Platinum,Bachelor,having fun,21,9
Gold,None,having fun,18,11
Diamond,High School,improving,19,3
Gold,High School,having fun,23,1
Platinum,Bachelor,having fun,18,0
Silver,High School,improving,22,12
Silver,Bachelor,having fun,21,0
Diamond,Bachelor,winning,26,6
Silver,High School,winning,18,0
Platinum,None,relaxing,18,3
Platinum,High School,winning,20,16
Gold,Bachelor,having fun,25,3
Diamond,Bachelor,improving,23,4
Silver,Bachelor,improving,21,5
Silver,Bachelor,improving,19,7
Platinum,High School,having fun,20,0
Gold,High School,having fun,20,10
Bronze,Bachelor,improving,26,5
Platinum,None,having fun,18,17
Silver,Bachelor,having fun,18,4
Silver,High School,improving,22,10
Silver,High School,having fun,24,3
Platinum,High School,having fun,20,1
Silver,High School,improving,26,8
Silver,Bachelor,having fun,24,8
Gold,High School,improving,21,4
Silver,High School,winning,18,4
Gold,High School,having fun,19,2
Diamond,High School,improving,19,0
Silver,Bachelor,having fun,26,1
Gold,None,having fun,18,16
Platinum,High School,having fun,21,7
Gold,None,improving,18,5
Platinum,High School,improving,18,9
Silver,High School,winning,22,4
Silver,High School,having fun,19,4
Gold,High School,winning,22,3
Platinum,High School,having fun,18,20
Diamond,High School,improving,20,14
Gold,High School,having fun,20,2
Gold,High School,winning,20,11
Platinum,Bachelor,improving,20,5
Platinum,Doctor,having fun,22,4
Gold,High School,winning,21,13
Gold,High School,improving,20,3
Platinum,High School,winning,23,6
Silver,None,improving,18,1
Diamond,None,relaxing,18,10
Diamond,High School,improving,19,14
Gold,High School,improving,19,3
Platinum,High School,having fun,21,4
Silver,High School,improving,19,8
Bronze,High School,having fun,21,3
Gold,Master,improving,30,3
Diamond,High School,winning,18,12
Gold,High School,improving,22,11
Platinum,High School,improving,20,3
Diamond,High School,having fun,19,8
Unranked,None,having fun,18,18
Diamond,High School,having fun,18,1
Silver,High School,having fun,33,2
Diamond,High School,having fun,18,1
Silver,High School,having fun,20,4
Gold,Bachelor,winning,23,6
Silver,High School,having fun,21,3
Gold,High School,improving,18,18
Gold,Bachelor,having fun,22,2
Platinum,High School,improving,23,9
Silver,High School,improving,20,1
Silver,High School,improving,19,1
Gold,Bachelor,relaxing,23,12
Platinum,High School,improving,21,2
Gold,Bachelor,winning,19,0
Gold,High School,winning,18,4
Gold,High School,having fun,18,0
Gold,High School,having fun,20,2
Gold,High School,winning,18,14
Unranked,High School,winning,19,7
Silver,High School,having fun,18,1
Platinum,High School,improving,20,2
Diamond,High School,winning,18,12
Platinum,High School,having fun,20,2
Platinum,None,having fun,19,3
Gold,High School,improving,19,9
Unranked,High School,having fun,19,8
Bronze,High School,winning,21,16
Silver,High School,winning,21,12
Diamond,None,having fun,18,7
Diamond,Bachelor,improving,21,11
Gold,High School,improving,22,21
Gold,High School,having fun,21,1
Gold,High School,winning,19,4
Silver,High School,having fun,32,11
Gold,None,improving,18,8
Platinum,High School,winning,18,10
Silver,High School,winning,24,0
Diamond,High School,winning,21,3
Diamond,High School,having fun,18,5
Silver,High School,having fun,21,9
Bronze,Bachelor,relaxing,22,9
Silver,High School,having fun,19,1
Platinum,High School,winning,20,1
Diamond,Master,improving,22,4
Diamond,Bachelor,having fun,21,5
Platinum,High School,improving,20,18
Platinum,High School,winning,21,1
Gold,High School,having fun,18,1
Gold,Bachelor,improving,23,3
Gold,High School,having fun,19,1
Platinum,None,winning,18,10
Gold,Bachelor,having fun,24,1
Gold,None,having fun,18,4
Platinum,Bachelor,improving,23,5
Gold,High School,improving,18,11
Gold,High School,improving,27,11
Gold,Bachelor,improving,22,0
Gold,High School,relaxing,19,1
Diamond,Bachelor,improving,18,1
Silver,High School,having fun,20,9
Silver,High School,improving,18,2
Platinum,Bachelor,improving,22,1
Silver,High School,winning,22,3
Diamond,High School,improving,18,5
Diamond,None,improving,18,1
Gold,High School,improving,23,3
Gold,High School,having fun,19,1
Silver,High School,having fun,19,9
Platinum,High School,having fun,19,5
Diamond,Bachelor,improving,19,13
Diamond,Bachelor,improving,23,7
Diamond,None,improving,18,4
Platinum,High School,having fun,20,3
Platinum,Bachelor,improving,21,1
Gold,High School,improving,24,8
Gold,High School,having fun,19,5
Gold,High School,improving,20,1
Platinum,High School,having fun,20,13
Platinum,High School,improving,23,7
Diamond,High School,having fun,19,4
Platinum,Bachelor,having fun,24,5
Platinum,None,having fun,18,13
Gold,High School,winning,19,11
Platinum,High School,having fun,18,0
Silver,High School,having fun,18,5
Silver,Master,winning,31,0
Diamond,Bachelor,improving,21,1
Platinum,Bachelor,having fun,25,5
Platinum,High School,improving,20,4
Bronze,Bachelor,improving,28,9
Unranked,High School,having fun,18,0
Platinum,Bachelor,having fun,19,2
Platinum,Bachelor,winning,22,2
Platinum,High School,improving,19,7
