,0,1,2
2460,High School,Silver,winning
2461,Platinum,Bachelor,winning
2462,having fun,Bachelor,Silver
2463,Unranked,High School,improving
2464,improving,None,Gold
2465,improving,High School,Silver
2466,Platinum,None,improving
2467,Diamond,High School,improving
2468,Platinum,having fun,High School
2469,improving,High School,Gold
2470,Diamond,None,improving
2471,improving,Bachelor,Silver
2472,Platinum,High School,improving
2473,Diamond,Bachelor,improving
2474,Diamond,None,winning
2475,Platinum,Bachelor,improving
2476,Diamond,having fun,High School
2477,Platinum,High School,winning
2478,High School,Silver,relaxing
2479,Platinum,having fun,Bachelor
2480,Master,having fun,Silver
2481,having fun,High School,Gold
2482,having fun,High School,Gold
2483,Platinum,High School,improving
2484,Diamond,Doctor,improving
2485,having fun,High School,Gold
2486,improving,Bachelor,Gold
2487,improving,Bachelor,Silver
2488,having fun,High School,Bronze
2489,Platinum,having fun,High School
2490,improving,High School,Gold
2491,Master,improving,Gold
2492,having fun,High School,Silver
2493,having fun,Bachelor,Gold
2494,improving,High School,Gold
2495,Platinum,High School,winning
2496,Diamond,Bachelor,improving
2497,None,Silver,winning
2498,Diamond,High School,winning
2499,Diamond,Bachelor,improving
2500,improving,Bronze,None
2501,improving,High School,Gold
2502,High School,Silver,winning
2503,Diamond,Bachelor,improving
2504,improving,High School,Gold
2505,improving,High School,Silver
2506,High School,Silver,winning
2507,High School,Silver,winning
2508,Platinum,High School,improving
2509,Diamond,Bachelor,improving
2510,Platinum,having fun,Bachelor
2511,Platinum,High School,winning
2512,improving,High School,Silver
2513,Platinum,High School,improving
2514,having fun,High School,Silver
2515,Bachelor,Silver,winning
2516,winning,High School,Gold
2517,Platinum,having fun,High School
2518,Diamond,None,winning
2519,Diamond,High School,relaxing
2520,Unranked,having fun,Master
2521,Diamond,having fun,High School
2522,having fun,High School,Silver
2523,Platinum,None,winning
2524,Platinum,having fun,High School
2525,Diamond,High School,improving
2526,having fun,High School,Gold
2527,improving,Bachelor,Gold
2528,Platinum,having fun,High School
2529,Platinum,None,winning
2530,Platinum,High School,improving
2531,improving,High School,Gold
2532,winning,High School,Gold
2533,Unranked,High School,winning
2534,Platinum,having fun,High School
2535,winning,High School,Gold
2536,Platinum,High School,improving
2537,Platinum,having fun,High School
2538,having fun,High School,Gold
2539,improving,None,Gold
2540,Diamond,None,improving
2541,Diamond,having fun,High School
2542,improving,High School,Silver
2543,winning,High School,Gold
2544,Platinum,having fun,High School
2545,having fun,High School,Silver
2546,having fun,Bachelor,Silver
2547,having fun,High School,Gold
2548,improving,Bachelor,Gold
2549,improving,None,Silver
2550,Diamond,High School,winning
2551,improving,High School,Silver
2552,improving,High School,Silver
2553,Diamond,having fun,High School
2554,Master,having fun,Gold
2555,Diamond,High School,improving
2556,Diamond,Master,winning
2557,Diamond,High School,improving
2558,Platinum,having fun,High School
2559,Diamond,High School,improving
2560,Platinum,High School,winning
2561,High School,Silver,winning
2562,Diamond,Bachelor,improving
2563,Platinum,having fun,Bachelor
2564,relaxing,High School,Gold
2565,having fun,High School,Silver
2566,improving,Bachelor,Gold
2567,Platinum,None,improving
2568,having fun,High School,Gold
2569,having fun,High School,Gold
2570,having fun,High School,Silver
2571,improving,None,Silver
2572,having fun,High School,Gold
2573,having fun,High School,Gold
2574,having fun,High School,Silver
2575,Platinum,High School,improving
2576,having fun,Bachelor,Silver
2577,Platinum,None,winning
2578,Platinum,having fun,Bachelor
2579,Diamond,High School,improving
2580,having fun,High School,Gold
2581,improving,High School,Gold
2582,improving,High School,Gold
2583,High School,Silver,relaxing
2584,Platinum,Bachelor,improving
2585,having fun,Bachelor,Silver
2586,Platinum,None,improving
2587,improving,Bachelor,Bronze
2588,improving,High School,Gold
2589,Diamond,None,improving
2590,winning,High School,Gold
2591,winning,High School,Gold
2592,having fun,Bachelor,Bronze
2593,having fun,High School,Silver
2594,Diamond,None,improving
2595,improving,Doctor,Gold
2596,having fun,High School,Silver
2597,Diamond,Bachelor,winning
2598,improving,None,Silver
2599,Unranked,having fun,High School
2600,Diamond,High School,improving
2601,having fun,High School,Gold
2602,Platinum,None,winning
2603,Platinum,High School,winning
2604,having fun,High School,Silver
2605,Platinum,High School,relaxing
2606,High School,Bronze,relaxing
2607,having fun,High School,Silver
2608,Unranked,High School,improving
2609,Diamond,Bachelor,relaxing
2610,improving,High School,Gold
2611,High School,Silver,winning
2612,relaxing,High School,Gold
2613,Platinum,having fun,High School
2614,improving,High School,Bronze
2615,relaxing,Bachelor,Gold
2616,winning,High School,Gold
2617,Platinum,High School,improving
2618,improving,Bachelor,Silver
2619,improving,High School,Gold
2620,Platinum,having fun,High School
2621,Diamond,High School,improving
2622,improving,Bachelor,Silver
2623,improving,High School,Gold
2624,Unranked,having fun,Bachelor
2625,Master,having fun,Gold
2626,having fun,High School,Gold
2627,Diamond,High School,improving
2628,improving,High School,Silver
2629,Platinum,having fun,Bachelor
2630,Bachelor,Silver,winning
2631,having fun,High School,Silver
2632,improving,None,Silver
2633,Platinum,High School,improving
2634,having fun,High School,Silver
2635,Platinum,having fun,Bachelor
2636,winning,None,Gold
2637,relaxing,Bachelor,Gold
2638,Platinum,having fun,High School
2639,having fun,High School,Bronze
2640,having fun,Bachelor,Gold
2641,having fun,High School,Silver
2642,improving,None,Gold
2643,Master,having fun,Gold
2644,having fun,None,Silver
2645,Platinum,High School,winning
2646,Platinum,High School,winning
2647,having fun,Bachelor,Silver
2648,having fun,Bachelor,Gold
2649,improving,High School,Silver
2650,Diamond,High School,improving
2651,Platinum,High School,improving
2652,improving,Bachelor,Silver
2653,Platinum,Bachelor,improving
2654,Platinum,None,winning
2655,Diamond,Bachelor,winning
2656,improving,Bachelor,Gold
2657,having fun,High School,Gold
2658,having fun,High School,Gold
2659,having fun,High School,Gold
2660,Platinum,High School,improving
2661,improving,High School,Silver
2662,Platinum,High School,winning
2663,Diamond,having fun,Bachelor
2664,Diamond,Bachelor,improving
2665,improving,High School,Gold
2666,winning,None,Gold
2667,Platinum,High School,winning
2668,improving,Bachelor,Gold
2669,having fun,High School,Gold
2670,relaxing,High School,Gold
2671,improving,High School,Gold
2672,having fun,High School,Bronze
2673,Platinum,Master,improving
2674,having fun,High School,Gold
2675,having fun,High School,Silver
2676,Platinum,having fun,Bachelor
2677,having fun,None,Gold
2678,Diamond,High School,improving
2679,having fun,High School,Gold
2680,Platinum,having fun,Bachelor
2681,improving,High School,Silver
2682,having fun,Bachelor,Silver
2683,Diamond,Bachelor,winning
2684,High School,Silver,winning
2685,Platinum,None,relaxing
2686,Platinum,High School,winning
2687,having fun,Bachelor,Gold
2688,Diamond,Bachelor,improving
2689,improving,Bachelor,Silver
2690,improving,Bachelor,Silver
2691,Platinum,having fun,High School
2692,having fun,High School,Gold
2693,improving,Bachelor,Bronze
2694,Platinum,having fun,None
2695,having fun,Bachelor,Silver
2696,improving,High School,Silver
2697,having fun,High School,Silver
2698,Platinum,having fun,High School
2699,improving,High School,Silver
2700,having fun,Bachelor,Silver
2701,improving,High School,Gold
2702,High School,Silver,winning
2703,having fun,High School,Gold
2704,Diamond,High School,improving
2705,having fun,Bachelor,Silver
2706,having fun,None,Gold
2707,Platinum,having fun,High School
2708,improving,None,Gold
2709,Platinum,High School,improving
2710,High School,Silver,winning
2711,having fun,High School,Silver
2712,winning,High School,Gold
2713,Platinum,having fun,High School
2714,Diamond,High School,improving
2715,having fun,High School,Gold
2716,winning,High School,Gold
2717,Platinum,Bachelor,improving
2718,Platinum,having fun,Doctor
2719,winning,High School,Gold
2720,improving,High School,Gold
2721,Platinum,High School,winning
2722,improving,None,Silver
2723,Diamond,None,relaxing
2724,Diamond,High School,improving
2725,improving,High School,Gold
2726,Platinum,having fun,High School
2727,improving,High School,Silver
2728,having fun,High School,Bronze
2729,Master,improving,Gold
2730,Diamond,High School,winning
2731,improving,High School,Gold
2732,Platinum,High School,improving
2733,Diamond,having fun,High School
2734,Unranked,having fun,None
2735,Diamond,having fun,High School
2736,having fun,High School,Silver
2737,Diamond,having fun,High School
2738,having fun,High School,Silver
2739,winning,Bachelor,Gold
2740,having fun,High School,Silver
2741,improving,High School,Gold
2742,having fun,Bachelor,Gold
2743,Platinum,High School,improving
2744,improving,High School,Silver
2745,improving,High School,Silver
2746,relaxing,Bachelor,Gold
2747,Platinum,High School,improving
2748,winning,Bachelor,Gold
2749,winning,High School,Gold
2750,having fun,High School,Gold
2751,having fun,High School,Gold
2752,winning,High School,Gold
2753,Unranked,High School,winning
2754,having fun,High School,Silver
2755,Platinum,High School,improving
2756,Diamond,High School,winning
2757,Platinum,having fun,High School
2758,Platinum,having fun,None
2759,improving,High School,Gold
2760,Unranked,having fun,High School
2761,High School,Bronze,winning
2762,High School,Silver,winning
2763,Diamond,having fun,None
2764,Diamond,Bachelor,improving
2765,improving,High School,Gold
2766,having fun,High School,Gold
2767,winning,High School,Gold
2768,having fun,High School,Silver
2769,improving,None,Gold
2770,Platinum,High School,winning
2771,High School,Silver,winning
2772,Diamond,High School,winning
2773,Diamond,having fun,High School
2774,having fun,High School,Silver
2775,Bachelor,Bronze,relaxing
2776,having fun,High School,Silver
2777,Platinum,High School,winning
2778,Diamond,Master,improving
2779,Diamond,having fun,Bachelor
2780,Platinum,High School,improving
2781,Platinum,High School,winning
2782,having fun,High School,Gold
2783,improving,Bachelor,Gold
2784,having fun,High School,Gold
2785,Platinum,None,winning
2786,having fun,Bachelor,Gold
2787,having fun,None,Gold
2788,Platinum,Bachelor,improving
2789,improving,High School,Gold
2790,improving,High School,Gold
2791,improving,Bachelor,Gold
2792,relaxing,High School,Gold
2793,Diamond,Bachelor,improving
2794,having fun,High School,Silver
2795,improving,High School,Silver
2796,Platinum,Bachelor,improving
2797,High School,Silver,winning
2798,Diamond,High School,improving
2799,Diamond,None,improving
2800,improving,High School,Gold
2801,having fun,High School,Gold
2802,having fun,High School,Silver
2803,Platinum,having fun,High School
2804,Diamond,Bachelor,improving
2805,Diamond,Bachelor,improving
2806,Diamond,None,improving
2807,Platinum,having fun,High School
2808,Platinum,Bachelor,improving
2809,improving,High School,Gold
2810,having fun,High School,Gold
2811,improving,High School,Gold
2812,Platinum,having fun,High School
2813,Platinum,High School,improving
2814,Diamond,having fun,High School
2815,Platinum,having fun,Bachelor
2816,Platinum,having fun,None
2817,winning,High School,Gold
2818,Platinum,having fun,High School
2819,having fun,High School,Silver
2820,Master,Silver,winning
2821,Diamond,Bachelor,improving
2822,Platinum,having fun,Bachelor
2823,Platinum,High School,improving
2824,improving,Bachelor,Bronze
2825,Unranked,having fun,High School
2826,Platinum,having fun,Bachelor
2827,Platinum,Bachelor,winning
2828,Platinum,High School,improving
2829,improving,High School,Gold
2830,Master,having fun,Gold
2831,Platinum,having fun,High School
2832,Platinum,High School,improving
2833,improving,Bachelor,Gold
2834,Unranked,High School,improving
2835,having fun,High School,Gold
2836,having fun,High School,Silver
2837,High School,Silver,winning
2838,Platinum,having fun,High School
2839,Platinum,High School,winning
2840,improving,Doctor,Gold
2841,having fun,High School,Gold
2842,improving,High School,Gold
2843,Platinum,None,improving
2844,having fun,High School,Gold
2845,having fun,High School,Gold
2846,having fun,None,Silver
2847,Platinum,High School,winning
2848,having fun,High School,Gold
2849,Platinum,having fun,Bachelor
2850,having fun,High School,Gold
2851,winning,High School,Gold
2852,having fun,High School,Gold
2853,improving,High School,Silver
2854,Platinum,None,improving
2855,Diamond,High School,winning
2856,improving,High School,Silver
2857,Platinum,High School,improving
2858,Platinum,having fun,High School
2859,Unranked,having fun,High School
2860,Diamond,High School,relaxing
2861,Platinum,High School,improving
2862,Diamond,High School,improving
2863,having fun,Bronze,None
2864,having fun,High School,Silver
2865,Diamond,having fun,High School
2866,Platinum,High School,relaxing
2867,High School,Bronze,winning
2868,Unranked,having fun,High School
2869,having fun,High School,Gold
2870,improving,High School,Gold
2871,having fun,None,Silver
2872,improving,High School,Bronze
2873,having fun,High School,Bronze
2874,improving,High School,Gold
2875,Doctor,Silver,relaxing
2876,Platinum,High School,improving
2877,having fun,High School,Gold
2878,winning,High School,Gold
2879,Diamond,High School,improving
2880,Master,having fun,Gold
2881,relaxing,High School,Gold
2882,Diamond,High School,winning
2883,Diamond,having fun,High School
2884,Platinum,having fun,High School
2885,improving,High School,Bronze
2886,Diamond,High School,improving
2887,improving,Bachelor,Gold
2888,Master,having fun,Gold
2889,having fun,High School,Silver
2890,improving,High School,Gold
2891,Platinum,High School,winning
2892,having fun,None,Silver
2893,Diamond,Bachelor,improving
2894,Unranked,None,improving
2895,relaxing,High School,Gold
2896,Diamond,High School,winning
2897,having fun,None,Silver
2898,Master,having fun,Silver
2899,improving,High School,Gold
2900,Bachelor,Silver,winning
2901,Platinum,High School,improving
2902,Platinum,Bachelor,winning
2903,improving,High School,Gold
2904,Platinum,having fun,None
2905,improving,High School,Gold
2906,Unranked,High School,improving
2907,High School,Silver,winning
2908,Doctor,Silver,winning
2909,Platinum,Bachelor,winning
2910,improving,High School,Bronze
2911,Platinum,High School,improving
2912,High School,Silver,winning
2913,Platinum,Master,relaxing
2914,improving,High School,Silver
2915,Platinum,having fun,High School
2916,High School,Silver,winning
2917,having fun,Bachelor,Gold
2918,Diamond,High School,improving
2919,improving,Bachelor,Gold
2920,Unranked,Bachelor,improving
2921,having fun,Bachelor,Gold
2922,Platinum,High School,improving
2923,improving,Bachelor,Bronze
2924,having fun,Bachelor,Bronze
2925,Platinum,having fun,High School
2926,Platinum,High School,winning
2927,winning,High School,Gold
2928,Diamond,High School,winning
2929,Bachelor,Silver,winning
2930,winning,High School,Gold
2931,Diamond,Master,improving
2932,Diamond,having fun,High School
2933,having fun,High School,Silver
2934,High School,Silver,winning
2935,Platinum,High School,improving
2936,having fun,High School,Gold
2937,improving,High School,Gold
2938,improving,High School,Gold
2939,having fun,High School,Silver
2940,Diamond,High School,winning
2941,Platinum,having fun,High School
2942,Master,improving,Gold
2943,Unranked,High School,winning
2944,improving,High School,Gold
2945,having fun,High School,Bronze
2946,Platinum,having fun,High School
2947,having fun,High School,Silver
2948,Bachelor,Bronze,winning
2949,High School,Silver,winning
2950,Platinum,having fun,High School
2951,improving,High School,Silver
2952,Master,having fun,Gold
2953,Platinum,Bachelor,improving
2954,having fun,None,Gold
2955,Unranked,having fun,High School
2956,having fun,High School,Silver
2957,improving,None,Gold
2958,having fun,High School,Bronze
2959,improving,High School,Gold
2960,having fun,High School,Silver
2961,Platinum,having fun,High School
2962,improving,High School,Gold
2963,Diamond,Bachelor,improving
2964,improving,High School,Silver
2965,Platinum,High School,improving
2966,improving,None,Gold
2967,improving,High School,Bronze
2968,having fun,Bachelor,Bronze
2969,winning,High School,Gold
2970,having fun,High School,Bronze
2971,Platinum,having fun,High School
2972,High School,Silver,relaxing
2973,Platinum,having fun,Bachelor
2974,Diamond,having fun,High School
2975,Platinum,having fun,High School
2976,improving,High School,Gold
2977,Platinum,High School,winning
2978,having fun,None,Silver
2979,Platinum,None,winning
2980,improving,High School,Bronze
2981,Platinum,having fun,High School
2982,Platinum,High School,improving
2983,Diamond,High School,winning
2984,Diamond,High School,winning
2985,having fun,High School,Gold
2986,Unranked,High School,relaxing
2987,Diamond,having fun,Master
2988,having fun,Bachelor,Silver
2989,Unranked,Bachelor,winning
2990,Platinum,having fun,High School
2991,having fun,High School,Gold
2992,having fun,High School,Gold
2993,improving,High School,Gold
2994,having fun,High School,Gold
2995,Platinum,None,improving
2996,Platinum,High School,winning
2997,having fun,High School,Gold
2998,Platinum,High School,winning
2999,relaxing,High School,Gold
3000,winning,High School,Gold
3001,Platinum,High School,winning
3002,Diamond,High School,winning
3003,Platinum,High School,improving
3004,improving,None,Silver
3005,having fun,High School,Gold
3006,winning,High School,Gold
3007,winning,High School,Gold
3008,improving,High School,Gold
3009,having fun,High School,Gold
3010,Diamond,High School,winning
3011,Platinum,having fun,High School
3012,having fun,High School,Gold
3013,having fun,High School,Gold
3014,Platinum,having fun,High School
3015,Platinum,High School,improving
3016,having fun,Bachelor,Gold
3017,None,Silver,winning
3018,Master,winning,Gold
3019,improving,High School,Silver
3020,Platinum,having fun,High School
3021,improving,High School,Gold
3022,improving,High School,Gold
3023,improving,Bachelor,Silver
3024,improving,None,Gold
3025,having fun,Bachelor,Silver
3026,Unranked,None,improving
3027,having fun,High School,Silver
3028,None,Silver,winning
3029,Platinum,having fun,None
3030,winning,None,Gold
3031,having fun,High School,Gold
3032,Platinum,High School,improving
3033,having fun,High School,Silver
3034,Platinum,None,winning
3035,improving,None,Gold
3036,having fun,High School,Gold
3037,Diamond,having fun,High School
3038,improving,High School,Bronze
3039,Platinum,having fun,High School
3040,Platinum,High School,improving
3041,Platinum,High School,improving
3042,improving,High School,Silver
3043,improving,High School,Silver
3044,winning,High School,Gold
3045,Diamond,High School,improving
3046,improving,High School,Silver
3047,improving,High School,Gold
3048,Platinum,None,improving
3049,High School,Silver,relaxing
3050,winning,High School,Gold
3051,Platinum,having fun,High School
3052,Platinum,having fun,Bachelor
3053,Diamond,High School,improving
3054,having fun,High School,Silver
3055,Diamond,High School,improving
3056,having fun,High School,Silver
3057,Master,Silver,improving
3058,Platinum,having fun,High School
3059,having fun,High School,Silver
3060,High School,Silver,winning
3061,Diamond,High School,improving
3062,Platinum,High School,winning
3063,having fun,Bachelor,Gold
3064,improving,High School,Gold
3065,having fun,High School,Silver
3066,High School,Silver,relaxing
3067,Platinum,having fun,Bachelor
3068,Diamond,having fun,High School
3069,improving,High School,Gold
3070,improving,High School,Silver
3071,having fun,None,Gold
3072,improving,High School,Silver
3073,improving,Bachelor,Gold
3074,winning,High School,Gold
3075,having fun,High School,Gold
3076,Platinum,Bachelor,improving
3077,winning,High School,Gold
3078,winning,High School,Gold
3079,having fun,High School,Gold
3080,Platinum,None,improving
3081,Platinum,having fun,High School
3082,Diamond,Bachelor,winning
3083,improving,High School,Gold
3084,winning,High School,Gold
3085,improving,Bronze,None
3086,improving,High School,Gold
3087,winning,Bachelor,Gold
3088,having fun,High School,Silver
3089,Platinum,Bachelor,improving
3090,having fun,High School,Gold
3091,Platinum,High School,winning
3092,Platinum,having fun,High School
3093,High School,Silver,winning
3094,improving,High School,Gold
3095,Diamond,having fun,High School
3096,having fun,High School,Gold
3097,improving,High School,Silver
3098,having fun,High School,Bronze
3099,winning,High School,Gold
3100,improving,High School,Gold
3101,improving,High School,Gold
3102,improving,None,Silver
3103,improving,Bachelor,Gold
3104,High School,Silver,winning
3105,improving,None,Silver
3106,having fun,Bachelor,Gold
3107,Unranked,High School,winning
3108,improving,High School,Bronze
3109,having fun,High School,Silver
3110,having fun,High School,Silver
3111,Platinum,Master,improving
3112,Platinum,High School,winning
3113,Platinum,None,improving
3114,having fun,High School,Silver
3115,having fun,Bachelor,Silver
3116,improving,High School,Gold
3117,Platinum,having fun,Bachelor
3118,Platinum,High School,improving
3119,Master,Bronze,improving
3120,having fun,High School,Bronze
3121,having fun,High School,Silver
3122,Platinum,having fun,Bachelor
3123,having fun,High School,Silver
3124,improving,High School,Silver
3125,Platinum,High School,improving
3126,Platinum,High School,improving
3127,Diamond,High School,winning
3128,High School,Bronze,winning
3129,Diamond,High School,improving
3130,Platinum,High School,improving
3131,Platinum,High School,winning
3132,Platinum,High School,improving
3133,winning,High School,Gold
3134,having fun,Bachelor,Silver
3135,Bachelor,Silver,relaxing
3136,improving,Bachelor,Silver
3137,improving,High School,Gold
3138,Platinum,High School,improving
3139,Master,having fun,Gold
3140,improving,Bachelor,Silver
3141,improving,High School,Silver
3142,Unranked,Bachelor,improving
3143,Diamond,Master,winning
3144,having fun,High School,Gold
3145,improving,Bachelor,Gold
3146,having fun,High School,Gold
3147,improving,High School,Silver
3148,Platinum,having fun,High School
3149,Platinum,Bachelor,improving
3150,Diamond,High School,improving
3151,improving,High School,Gold
3152,improving,High School,Silver
3153,improving,High School,Silver
3154,Platinum,having fun,High School
3155,improving,High School,Gold
3156,having fun,High School,Gold
3157,improving,None,Gold
3158,Platinum,High School,winning
3159,having fun,High School,Silver
3160,High School,Silver,winning
3161,having fun,High School,Gold
3162,having fun,High School,Gold
3163,improving,High School,Silver
3164,Platinum,High School,winning
3165,High School,Silver,winning
3166,winning,High School,Gold
3167,Platinum,Bachelor,improving
3168,Platinum,High School,relaxing
3169,improving,Bachelor,Bronze
3170,improving,High School,Silver
3171,Platinum,High School,improving
3172,having fun,Bachelor,Silver
3173,Platinum,having fun,High School
3174,Diamond,Master,improving
3175,Platinum,High School,improving
3176,Diamond,having fun,High School
3177,Diamond,High School,improving
3178,improving,Bachelor,Gold
3179,Diamond,having fun,High School
3180,Diamond,having fun,High School
3181,having fun,High School,Silver
3182,Diamond,High School,winning
3183,Platinum,Bachelor,winning
3184,Platinum,having fun,High School
3185,High School,Silver,relaxing
3186,improving,Bachelor,Gold
3187,Diamond,High School,improving
3188,Unranked,High School,improving
3189,Diamond,High School,improving
3190,Platinum,None,improving
3191,Unranked,having fun,High School
3192,Diamond,Master,improving
3193,having fun,Bachelor,Silver
3194,Platinum,High School,improving
3195,Platinum,None,improving
3196,Platinum,None,improving
3197,Platinum,High School,improving
3198,Platinum,High School,improving
3199,improving,High School,Silver
3200,improving,High School,Silver
3201,Diamond,having fun,High School
3202,having fun,High School,Silver
3203,Master,improving,Gold
3204,having fun,Bachelor,Silver
3205,Platinum,High School,improving
3206,improving,High School,Gold
3207,having fun,High School,Gold
3208,Platinum,having fun,High School
3209,having fun,Bachelor,Silver
3210,improving,Bachelor,Silver
3211,Platinum,High School,improving
3212,improving,High School,Bronze
3213,Diamond,High School,improving
3214,improving,High School,Gold
3215,Diamond,High School,winning
3216,Diamond,None,improving
3217,having fun,High School,Silver
3218,having fun,Bachelor,Silver
3219,Diamond,having fun,Bachelor
3220,having fun,High School,Silver
3221,Platinum,High School,improving
3222,winning,High School,Gold
3223,Platinum,having fun,High School
3224,Diamond,High School,improving
3225,Unranked,High School,improving
3226,Platinum,High School,improving
3227,having fun,High School,Gold
3228,Platinum,None,improving
3229,Platinum,High School,improving
3230,Platinum,High School,improving
3231,Diamond,High School,winning
3232,improving,None,Gold
3233,Platinum,High School,winning
3234,relaxing,High School,Gold
3235,winning,High School,Gold
3236,Platinum,Bachelor,winning
3237,improving,Bachelor,Gold
3238,Platinum,High School,improving
3239,Platinum,having fun,High School
3240,Diamond,Master,improving
3241,having fun,None,Gold
3242,improving,Bachelor,Bronze
3243,Unranked,High School,improving
3244,Diamond,None,winning
3245,Platinum,High School,relaxing
3246,improving,None,Silver
3247,Platinum,having fun,High School
3248,having fun,High School,Silver
3249,having fun,High School,Gold
3250,having fun,High School,Bronze
3251,Platinum,High School,improving
3252,Diamond,None,improving
3253,improving,High School,Silver
3254,having fun,High School,Gold
3255,Platinum,Bachelor,improving
3256,improving,High School,Gold
3257,Unranked,having fun,High School
3258,having fun,High School,Silver
3259,Platinum,High School,improving
3260,Platinum,having fun,High School
3261,having fun,High School,Gold
3262,Diamond,High School,winning
3263,Diamond,High School,improving
3264,improving,High School,Silver
3265,having fun,High School,Silver
3266,Platinum,High School,improving
3267,Platinum,having fun,High School
3268,improving,None,Silver
3269,Master,winning,Gold
3270,improving,Bachelor,Bronze
3271,Platinum,Bachelor,improving
3272,Platinum,High School,improving
3273,having fun,None,Gold
3274,Unranked,having fun,High School
3275,winning,None,Gold
3276,Unranked,having fun,High School
3277,Diamond,Bachelor,improving
3278,Platinum,having fun,High School
3279,winning,Bachelor,Gold
3280,Platinum,having fun,High School
3281,having fun,Bachelor,Gold
3282,improving,Bachelor,Silver
3283,having fun,Bachelor,Gold
3284,Platinum,High School,improving
3285,Unranked,having fun,High School
3286,Platinum,having fun,Master
3287,having fun,High School,Gold
3288,Platinum,having fun,High School
3289,Platinum,having fun,Bachelor
3290,having fun,Bachelor,Gold
3291,winning,High School,Gold
3292,winning,High School,Gold
3293,Platinum,Bachelor,improving
3294,Diamond,High School,improving
3295,improving,High School,Gold
3296,improving,Bachelor,Silver
3297,improving,Bronze,None
3298,improving,Bachelor,Gold
3299,Master,winning,Gold
3300,having fun,High School,Gold
3301,improving,None,Gold
3302,Diamond,High School,winning
3303,having fun,Bachelor,Silver
3304,Unranked,High School,winning
3305,Diamond,High School,improving
3306,Platinum,Bachelor,improving
3307,improving,High School,Gold
3308,having fun,High School,Gold
3309,having fun,High School,Gold
3310,Unranked,having fun,None
3311,Diamond,None,improving
3312,having fun,High School,Silver
3313,Bachelor,Silver,winning
3314,having fun,Bachelor,Silver
3315,relaxing,High School,Gold
3316,having fun,High School,Gold
3317,having fun,High School,Gold
3318,Platinum,High School,improving
3319,improving,Bachelor,Bronze
3320,winning,None,Gold
3321,improving,High School,Bronze
3322,Platinum,High School,winning
3323,Diamond,High School,improving
3324,improving,High School,Gold
3325,having fun,Bachelor,Bronze
3326,having fun,High School,Gold
3327,Diamond,having fun,High School
3328,improving,High School,Silver
3329,Unranked,High School,improving
3330,having fun,High School,Gold
3331,Platinum,High School,relaxing
3332,having fun,High School,Silver
3333,improving,Bachelor,Gold
3334,winning,High School,Gold
3335,Diamond,High School,improving
3336,Platinum,having fun,Master
3337,Unranked,Bachelor,improving
3338,improving,High School,Silver
3339,having fun,High School,Gold
3340,improving,High School,Gold
3341,Platinum,having fun,Bachelor
3342,Diamond,None,improving
3343,having fun,High School,Silver
3344,Platinum,None,winning
3345,having fun,High School,Gold
3346,Platinum,Master,improving
3347,Platinum,having fun,High School
3348,Diamond,High School,improving
3349,having fun,High School,Silver
3350,Platinum,Bachelor,improving
3351,having fun,High School,Gold
3352,improving,High School,Silver
3353,Platinum,Bachelor,improving
3354,High School,Bronze,relaxing
3355,winning,Bachelor,Gold
3356,having fun,None,Silver
3357,Platinum,having fun,High School
3358,winning,High School,Gold
3359,winning,High School,Gold
3360,improving,High School,Gold
3361,Diamond,having fun,High School
3362,having fun,None,Gold
3363,High School,Bronze,relaxing
3364,High School,Bronze,winning
3365,Diamond,Bachelor,improving
3366,Platinum,Master,improving
3367,having fun,None,Gold
3368,winning,Bachelor,Gold
3369,Diamond,having fun,High School
3370,improving,High School,Gold
3371,Platinum,Bachelor,improving
3372,Bachelor,Silver,winning
3373,having fun,High School,Silver
3374,Platinum,High School,improving
3375,Platinum,High School,improving
3376,having fun,None,Gold
3377,Platinum,High School,improving
3378,Diamond,having fun,High School
3379,High School,Silver,relaxing
3380,Diamond,None,improving
3381,Diamond,None,improving
3382,having fun,High School,Bronze
3383,having fun,None,Silver
3384,Platinum,High School,improving
3385,Master,Bronze,improving
3386,Diamond,High School,improving
3387,Platinum,having fun,High School
3388,having fun,High School,Silver
3389,Platinum,None,winning
3390,Platinum,having fun,High School
3391,improving,Bachelor,Gold
3392,Master,having fun,Gold
3393,improving,High School,Gold
3394,having fun,High School,Silver
3395,Bachelor,Silver,winning
3396,improving,High School,Gold
3397,Diamond,High School,improving
3398,Platinum,High School,improving
3399,Platinum,High School,improving
3400,having fun,High School,Silver
3401,Unranked,Bachelor,improving
3402,Platinum,having fun,Bachelor
3403,having fun,High School,Silver
3404,having fun,High School,Gold
3405,improving,Bachelor,Gold
3406,improving,None,Silver
3407,Platinum,High School,improving
3408,Diamond,High School,winning
3409,Master,Bronze,improving
3410,Diamond,High School,improving
3411,Platinum,Bachelor,improving
3412,Platinum,High School,relaxing
3413,Platinum,High School,improving
3414,having fun,High School,Gold
3415,Platinum,None,improving
3416,Master,having fun,Gold
3417,having fun,High School,Gold
3418,Diamond,High School,improving
3419,improving,High School,Gold
3420,Platinum,High School,improving
3421,having fun,High School,Silver
3422,improving,High School,Silver
3423,Master,having fun,Gold
3424,winning,High School,Gold
3425,having fun,High School,Gold
3426,Platinum,Bachelor,improving
3427,Unranked,having fun,High School
3428,improving,Bachelor,Gold
3429,High School,Silver,relaxing
3430,improving,High School,Silver
3431,having fun,High School,Gold
