League,Degree,Age,GAD_T
Platinum,High School,18,0
Platinum,High School,19,4
Diamond,Master,18,12
Diamond,None,20,9
Platinum,None,18,3
Silver,High School,21,0
Gold,High School,18,0
Silver,High School,20,2
Gold,High School,26,5
Platinum,Bachelor,18,0
Silver,Bachelor,19,9
Diamond,High School,18,2
Bronze,Bachelor,25,14
Silver,High School,18,3
Unranked,High School,21,11
Gold,None,18,11
Silver,Bachelor,21,6
Gold,High School,21,2
Diamond,Master,24,2
Platinum,High School,18,1
Diamond,Master,22,4
Platinum,None,18,6
Diamond,None,20,5
Bronze,None,18,16
Diamond,Bachelor,18,2
Gold,Bachelor,19,2
Silver,High School,18,6
Gold,High School,19,6
Diamond,None,18,7
Platinum,High School,20,10
Platinum,High School,21,2
Silver,None,18,13
Gold,High School,21,3
Platinum,High School,18,4
Silver,None,18,13
Platinum,High School,18,6
Platinum,High School,18,0
Bronze,None,18,3
Diamond,High School,19,0
Diamond,High School,18,3
Silver,High School,18,4
Platinum,Bachelor,24,2
Platinum,High School,18,5
Gold,High School,22,3
Platinum,High School,24,6
Platinum,Master,32,21
Platinum,None,18,1
Platinum,High School,21,3
Platinum,High School,18,8
Silver,High School,20,1
Platinum,High School,18,2
Unranked,High School,19,8
Silver,None,18,16
Platinum,High School,22,1
Unranked,Bachelor,24,7
Platinum,High School,21,1
Platinum,High School,19,1
Gold,High School,18,11
Platinum,High School,23,11
Gold,High School,21,0
Silver,High School,19,2
Gold,High School,18,0
Gold,High School,18,2
Silver,High School,18,3
Bronze,High School,20,0
Silver,High School,20,1
Gold,Bachelor,27,6
Platinum,High School,22,9
Platinum,High School,18,7
Gold,Bachelor,21,12
Gold,High School,18,6
Platinum,High School,22,7
Platinum,High School,20,19
Gold,High School,20,0
Diamond,High School,18,11
Silver,High School,22,4
Silver,High School,20,1
Platinum,High School,21,1
Platinum,Bachelor,18,3
Gold,None,18,3
Gold,High School,21,1
Silver,Bachelor,27,3
Silver,Bachelor,24,3
Silver,High School,18,8
Silver,High School,18,3
Gold,High School,19,8
Bronze,High School,18,14
Platinum,High School,20,7
Platinum,High School,20,6
Platinum,Bachelor,23,7
Platinum,Bachelor,21,0
Diamond,High School,23,4
Platinum,None,18,4
Unranked,Bachelor,27,3
Gold,None,19,9
Gold,High School,24,2
Platinum,High School,18,9
Diamond,Bachelor,21,15
Bronze,High School,18,3
Silver,High School,18,17
Platinum,High School,20,19
Diamond,High School,19,17
Gold,Bachelor,26,5
Gold,High School,19,5
Platinum,Bachelor,26,2
Platinum,High School,22,12
Silver,High School,19,2
Diamond,None,18,1
Platinum,None,18,0
Unranked,None,18,6
Gold,Bachelor,25,1
Silver,High School,21,4
Silver,High School,20,7
Platinum,High School,19,3
Gold,High School,21,6
Gold,High School,22,3
Silver,High School,19,3
Silver,High School,21,8
Gold,Bachelor,20,3
Platinum,High School,18,6
Gold,Bachelor,22,1
Gold,Bachelor,23,4
Gold,Bachelor,21,3
Diamond,High School,21,3
Gold,Bachelor,29,11
Silver,High School,18,0
Silver,High School,18,2
Bronze,High School,18,13
Gold,Bachelor,21,8
Platinum,High School,22,0
Gold,None,20,5
Gold,High School,20,1
Diamond,None,18,4
Gold,High School,23,1
Platinum,High School,18,7
Platinum,Bachelor,22,5
Platinum,Bachelor,25,7
Diamond,High School,20,1
Gold,High School,18,1
Gold,High School,19,3
Silver,Bachelor,22,3
Diamond,Bachelor,25,2
Silver,High School,28,3
Bronze,Bachelor,27,0
Platinum,High School,20,4
Bronze,High School,20,13
Gold,None,18,4
Diamond,None,18,3
Gold,None,18,2
Silver,High School,25,6
Gold,High School,22,1
Silver,High School,19,2
Silver,High School,18,14
Gold,Bachelor,32,3
Platinum,High School,22,14
Gold,High School,24,3
Gold,High School,18,0
Gold,None,18,7
Gold,High School,22,2
Silver,Bachelor,19,4
Gold,High School,20,11
Diamond,None,19,4
Silver,High School,21,13
Gold,High School,19,1
Silver,High School,18,14
Bronze,High School,19,6
Silver,High School,21,3
Gold,High School,20,12
Gold,High School,23,10
Silver,High School,19,4
Gold,High School,23,7
Silver,High School,19,2
Silver,Bachelor,28,0
Platinum,High School,18,0
Gold,High School,21,1
Gold,Master,25,12
Gold,None,19,6
Gold,High School,19,1
Platinum,High School,18,3
Platinum,None,18,1
Platinum,None,18,5
Silver,Bachelor,30,0
Bronze,High School,24,11
Diamond,Bachelor,23,2
Diamond,High School,18,4
Bronze,High School,21,5
Gold,Bachelor,24,9
Gold,Bachelor,24,6
Bronze,None,27,3
Gold,High School,26,3
Gold,None,19,20
Gold,Bachelor,21,1
Bronze,High School,29,0
Gold,Bachelor,22,3
Gold,High School,21,5
Gold,High School,20,1
Gold,Bachelor,23,13
Platinum,Bachelor,21,6
Silver,High School,18,1
Gold,High School,21,7
Platinum,None,18,1
Silver,High School,19,3
Diamond,High School,18,1
Diamond,Bachelor,21,0
Silver,High School,18,3
Gold,None,18,6
Diamond,Master,23,3
Diamond,High School,22,21
Gold,High School,19,3
Gold,Master,26,2
Gold,None,19,14
Platinum,None,19,4
Platinum,None,21,4
Gold,High School,22,0
Gold,Master,24,2
Platinum,High School,23,3
Diamond,High School,19,6
Gold,High School,26,2
Silver,High School,18,13
Silver,High School,18,2
Bronze,High School,18,3
Silver,High School,20,8
Diamond,High School,22,2
Silver,Bachelor,23,12
Silver,High School,19,7
Unranked,High School,20,6
Gold,Bachelor,23,8
Gold,Bachelor,19,3
Diamond,High School,18,5
Gold,Bachelor,21,19
Gold,High School,19,6
Bronze,High School,19,3
Bronze,High School,18,3
Unranked,High School,20,0
Diamond,High School,21,4
Platinum,Bachelor,18,3
Diamond,High School,18,5
Gold,None,18,5
Silver,High School,20,10
Platinum,High School,20,12
Silver,Bachelor,23,3
Platinum,High School,18,5
Diamond,None,18,11
Gold,High School,19,2
Gold,None,18,1
Gold,Bachelor,21,1
Diamond,Bachelor,19,21
Bronze,High School,23,4
Gold,Bachelor,27,0
Silver,High School,18,10
Silver,High School,19,16
Diamond,High School,19,3
Gold,High School,20,4
Gold,High School,22,2
Platinum,Bachelor,19,6
Gold,High School,22,6
Gold,High School,23,10
Silver,Bachelor,25,9
Silver,Bachelor,28,0
Platinum,None,21,2
Gold,Master,32,3
Diamond,High School,19,2
Diamond,Bachelor,22,4
Platinum,High School,22,3
Diamond,None,18,0
Silver,Bachelor,28,3
Platinum,High School,18,10
Diamond,High School,18,1
Gold,High School,20,6
Silver,High School,18,2
Unranked,High School,19,6
Silver,Bachelor,24,1
Silver,High School,18,15
Gold,Bachelor,27,0
Platinum,None,18,2
Gold,High School,25,4
Platinum,Bachelor,18,8
Platinum,None,18,7
Unranked,Bachelor,20,6
Gold,High School,21,3
Silver,High School,19,8
Diamond,High School,19,2
Platinum,Doctor,35,0
Platinum,High School,20,8
Bronze,Bachelor,20,1
Gold,High School,20,2
Gold,High School,18,3
Gold,High School,20,0
Gold,High School,21,6
Bronze,None,18,2
Diamond,High School,23,7
Gold,High School,20,7
Silver,High School,23,1
Platinum,Bachelor,26,1
Platinum,High School,19,3
Platinum,Master,18,14
Bronze,None,18,4
Gold,Bachelor,20,9
Silver,Bachelor,22,11
Silver,High School,21,3
Platinum,Master,25,6
Bronze,Bachelor,32,21
Silver,None,18,12
Platinum,None,19,0
Gold,High School,22,12
Unranked,Bachelor,22,2
Platinum,High School,20,3
Diamond,Bachelor,18,1
Unranked,Bachelor,21,13
Diamond,Bachelor,21,1
Bronze,High School,20,1
Gold,High School,25,5
Platinum,High School,19,4
Unranked,High School,21,4
Bronze,High School,22,7
Gold,Bachelor,21,8
Silver,High School,21,0
Platinum,Bachelor,21,7
Platinum,None,18,4
Gold,High School,21,11
Platinum,High School,19,10
Gold,High School,20,1
Gold,High School,23,1
Platinum,None,18,5
Gold,High School,22,4
Platinum,Bachelor,26,3
Silver,High School,23,11
Gold,None,18,1
Silver,High School,20,1
Platinum,None,18,4
Platinum,High School,18,0
Silver,High School,20,3
Gold,High School,24,6
Unranked,High School,20,6
Silver,None,18,2
Silver,None,18,2
Unranked,None,18,1
Silver,High School,19,5
Platinum,Bachelor,23,6
Silver,Bachelor,21,12
Unranked,High School,23,2
Gold,None,18,10
Silver,High School,21,14
Platinum,None,18,6
Diamond,High School,22,7
Platinum,High School,19,2
Gold,High School,19,1
Diamond,None,18,4
Silver,Bachelor,23,1
Platinum,High School,20,6
Diamond,Bachelor,20,10
Diamond,None,18,8
Platinum,Bachelor,20,4
Diamond,High School,20,3
Platinum,High School,25,2
Silver,High School,18,11
Platinum,Bachelor,22,5
Silver,Master,31,2
Gold,High School,20,8
Gold,High School,21,6
Platinum,High School,18,2
Diamond,Doctor,20,7
Gold,High School,18,3
Gold,Bachelor,32,13
Silver,Bachelor,24,0
Bronze,High School,23,0
Platinum,High School,21,5
Gold,High School,20,15
Gold,Master,23,13
Silver,High School,21,13
Gold,Bachelor,18,1
Gold,High School,27,0
Platinum,High School,26,4
Diamond,Bachelor,25,6
Silver,None,29,0
Diamond,High School,21,3
Diamond,Bachelor,24,13
Bronze,None,18,16
Gold,High School,21,6
Silver,High School,20,3
Diamond,Bachelor,18,5
Gold,High School,26,13
Silver,High School,19,2
Silver,High School,19,2
Silver,High School,20,10
Platinum,High School,18,3
Diamond,Bachelor,20,5
Platinum,Bachelor,19,2
Platinum,High School,18,13
Silver,High School,20,2
Platinum,High School,19,4
Silver,High School,21,7
Silver,Bachelor,21,2
Gold,High School,20,3
Platinum,High School,18,9
Diamond,None,18,9
Diamond,High School,20,8
Unranked,Master,27,11
Diamond,High School,18,0
Silver,High School,22,4
Platinum,None,18,2
Platinum,High School,19,9
Diamond,High School,21,6
Gold,High School,23,2
Gold,Bachelor,25,10
Platinum,High School,18,3
Platinum,None,18,10
Platinum,High School,19,6
Gold,High School,35,0
Gold,High School,24,1
Unranked,High School,21,6
Platinum,High School,20,17
Gold,High School,18,1
Platinum,High School,18,0
Platinum,High School,27,0
Gold,High School,24,3
Gold,None,18,0
Diamond,None,20,2
Diamond,High School,18,9
Silver,High School,19,0
Gold,High School,21,3
Platinum,High School,29,1
Silver,High School,19,3
Silver,Bachelor,21,11
Gold,High School,21,0
Gold,Bachelor,21,3
Silver,None,18,13
Diamond,High School,20,0
Silver,High School,23,7
Silver,High School,34,7
Diamond,High School,20,1
Gold,Master,29,10
Diamond,High School,18,7
Diamond,Master,27,0
Diamond,High School,18,2
Platinum,High School,22,1
Diamond,High School,20,11
Platinum,High School,20,1
Silver,High School,22,4
Diamond,Bachelor,21,5
Platinum,Bachelor,27,0
Gold,High School,18,3
Silver,High School,18,5
Gold,Bachelor,19,5
Platinum,None,19,4
Gold,High School,18,1
Gold,High School,18,3
Silver,High School,19,11
Silver,None,18,1
Gold,High School,18,1
Gold,High School,19,1
Silver,High School,18,3
Platinum,High School,19,2
Silver,Bachelor,25,3
Platinum,None,18,7
Platinum,Bachelor,24,0
Diamond,High School,19,5
Gold,High School,18,3
Gold,High School,18,0
Gold,High School,20,0
Silver,High School,21,3
Platinum,Bachelor,20,2
Silver,Bachelor,26,2
Platinum,None,18,5
Bronze,Bachelor,24,4
Gold,High School,22,3
Diamond,None,18,3
Gold,High School,19,6
Gold,High School,20,0
Bronze,Bachelor,24,6
Silver,High School,20,0
Diamond,None,18,1
Gold,Doctor,26,3
Silver,High School,18,14
Diamond,Bachelor,22,0
Silver,None,18,1
Unranked,High School,19,7
Diamond,High School,23,2
Gold,High School,18,4
Platinum,None,19,12
Platinum,High School,22,1
Silver,High School,25,12
Platinum,High School,18,8
Bronze,High School,18,10
Silver,High School,18,2
Unranked,High School,21,2
Diamond,Bachelor,22,4
Gold,High School,22,2
Silver,High School,19,5
Gold,High School,25,3
Platinum,High School,18,2
Bronze,High School,18,8
Gold,Bachelor,24,3
Gold,High School,18,2
Platinum,High School,18,14
Silver,Bachelor,38,2
Gold,High School,19,3
Platinum,High School,22,1
Diamond,High School,21,8
Silver,Bachelor,18,11
Gold,High School,21,3
Unranked,Bachelor,25,2
Gold,Master,21,2
Gold,High School,26,3
Diamond,High School,24,4
Silver,High School,25,0
Platinum,Bachelor,24,8
Silver,Bachelor,34,2
Silver,High School,18,0
Silver,None,18,2
Platinum,High School,19,0
Silver,High School,20,9
Platinum,Bachelor,24,3
Gold,None,18,13
Gold,Bachelor,28,3
Platinum,High School,21,10
Bronze,High School,18,6
Gold,Bachelor,26,15
Silver,High School,18,1
Gold,None,18,4
Gold,Master,25,1
Silver,None,18,8
Platinum,High School,22,2
Platinum,High School,19,3
Silver,Bachelor,23,6
Gold,Bachelor,24,10
Silver,High School,18,1
Diamond,High School,22,3
Platinum,High School,19,4
Silver,Bachelor,20,9
Platinum,Bachelor,26,2
Platinum,None,18,3
Diamond,Bachelor,18,6
Gold,Bachelor,26,5
Gold,High School,25,4
Gold,High School,20,2
Gold,High School,20,1
Platinum,High School,20,18
Silver,High School,18,6
Platinum,High School,20,5
Diamond,Bachelor,22,3
Diamond,Bachelor,21,6
Gold,High School,19,2
Gold,None,18,14
Platinum,High School,19,6
Gold,Bachelor,26,3
Gold,High School,24,0
Gold,High School,18,1
Gold,High School,24,1
Bronze,High School,20,0
Platinum,Master,18,12
Gold,High School,20,4
Silver,High School,18,0
Platinum,Bachelor,21,9
Gold,None,18,11
Diamond,High School,19,3
Gold,High School,23,1
Platinum,Bachelor,18,0
Silver,High School,22,12
Silver,Bachelor,21,0
Diamond,Bachelor,26,6
Silver,High School,18,0
Platinum,None,18,3
Platinum,High School,20,16
Gold,Bachelor,25,3
Diamond,Bachelor,23,4
Silver,Bachelor,21,5
Silver,Bachelor,19,7
Platinum,High School,20,0
Gold,High School,20,10
Bronze,Bachelor,26,5
Platinum,None,18,17
Silver,Bachelor,18,4
Silver,High School,22,10
Silver,High School,24,3
Platinum,High School,20,1
Silver,High School,26,8
Silver,Bachelor,24,8
Gold,High School,21,4
Silver,High School,18,4
Gold,High School,19,2
Diamond,High School,19,0
Silver,Bachelor,26,1
Gold,None,18,16
Platinum,High School,21,7
Gold,None,18,5
Platinum,High School,18,9
Silver,High School,22,4
Silver,High School,19,4
Gold,High School,22,3
Platinum,High School,18,20
Diamond,High School,20,14
Gold,High School,20,2
Gold,High School,20,11
Platinum,Bachelor,20,5
Platinum,Doctor,22,4
Gold,High School,21,13
Gold,High School,20,3
Platinum,High School,23,6
Silver,None,18,1
Diamond,None,18,10
Diamond,High School,19,14
Gold,High School,19,3
Platinum,High School,21,4
Silver,High School,19,8
Bronze,High School,21,3
Gold,Master,30,3
Diamond,High School,18,12
Gold,High School,22,11
Platinum,High School,20,3
Diamond,High School,19,8
Unranked,None,18,18
Diamond,High School,18,1
Silver,High School,33,2
Diamond,High School,18,1
Silver,High School,20,4
Gold,Bachelor,23,6
Silver,High School,21,3
Gold,High School,18,18
Gold,Bachelor,22,2
Platinum,High School,23,9
Silver,High School,20,1
Silver,High School,19,1
Gold,Bachelor,23,12
Platinum,High School,21,2
Gold,Bachelor,19,0
Gold,High School,18,4
Gold,High School,18,0
Gold,High School,20,2
Gold,High School,18,14
Unranked,High School,19,7
Silver,High School,18,1
Platinum,High School,20,2
Diamond,High School,18,12
Platinum,High School,20,2
Platinum,None,19,3
Gold,High School,19,9
Unranked,High School,19,8
Bronze,High School,21,16
Silver,High School,21,12
Diamond,None,18,7
Diamond,Bachelor,21,11
Gold,High School,22,21
Gold,High School,21,1
Gold,High School,19,4
Silver,High School,32,11
Gold,None,18,8
Platinum,High School,18,10
Silver,High School,24,0
Diamond,High School,21,3
Diamond,High School,18,5
Silver,High School,21,9
Bronze,Bachelor,22,9
Silver,High School,19,1
Platinum,High School,20,1
Diamond,Master,22,4
Diamond,Bachelor,21,5
Platinum,High School,20,18
Platinum,High School,21,1
Gold,High School,18,1
Gold,Bachelor,23,3
Gold,High School,19,1
Platinum,None,18,10
Gold,Bachelor,24,1
Gold,None,18,4
Platinum,Bachelor,23,5
Gold,High School,18,11
Gold,High School,27,11
Gold,Bachelor,22,0
Gold,High School,19,1
Diamond,Bachelor,18,1
Silver,High School,20,9
Silver,High School,18,2
Platinum,Bachelor,22,1
Silver,High School,22,3
Diamond,High School,18,5
Diamond,None,18,1
Gold,High School,23,3
Gold,High School,19,1
Silver,High School,19,9
Platinum,High School,19,5
Diamond,Bachelor,19,13
Diamond,Bachelor,23,7
Diamond,None,18,4
Platinum,High School,20,3
Platinum,Bachelor,21,1
Gold,High School,24,8
Gold,High School,19,5
Gold,High School,20,1
Platinum,High School,20,13
Platinum,High School,23,7
Diamond,High School,19,4
Platinum,Bachelor,24,5
Platinum,None,18,13
Gold,High School,19,11
Platinum,High School,18,0
Silver,High School,18,5
Silver,Master,31,0
Diamond,Bachelor,21,1
Platinum,Bachelor,25,5
Platinum,High School,20,4
Bronze,Bachelor,28,9
Unranked,High School,18,0
Platinum,Bachelor,19,2
Platinum,Bachelor,22,2
Platinum,High School,19,7
Gold,High School,19,6
Gold,Master,29,3
Platinum,High School,24,3
Platinum,High School,21,6
Gold,Bachelor,25,6
Unranked,High School,23,20
Gold,High School,23,2
Silver,High School,18,10
Silver,High School,18,17
Platinum,High School,23,20
Platinum,High School,19,12
Gold,Doctor,31,9
Gold,High School,18,1
Gold,High School,18,1
Platinum,None,18,8
Gold,High School,18,2
Gold,High School,21,17
Silver,None,18,2
Platinum,High School,20,9
Gold,High School,18,12
Platinum,Bachelor,23,12
Gold,High School,21,5
Gold,High School,23,8
Gold,High School,18,4
Silver,High School,20,1
Platinum,None,18,6
Diamond,High School,19,9
Silver,High School,19,5
Platinum,High School,21,2
Platinum,High School,21,2
Unranked,High School,21,1
Diamond,High School,22,4
Platinum,High School,21,12
Diamond,High School,22,1
Bronze,None,18,4
Silver,High School,22,1
Diamond,High School,19,3
Platinum,High School,19,4
Bronze,High School,20,2
Unranked,High School,20,10
Gold,High School,19,2
Gold,High School,18,1
Silver,None,18,11
Bronze,High School,25,7
Bronze,High School,20,6
Gold,High School,18,3
Silver,Doctor,34,9
Platinum,High School,21,0
Gold,High School,20,2
Gold,High School,20,16
Diamond,High School,22,5
Gold,Master,20,12
Gold,High School,23,1
Diamond,High School,19,1
Diamond,High School,20,4
Platinum,High School,20,2
Bronze,High School,18,1
Diamond,High School,20,2
Gold,Bachelor,23,0
Gold,Master,21,3
Silver,High School,22,21
Gold,High School,19,3
Platinum,High School,23,2
Silver,None,18,3
Diamond,Bachelor,20,3
Unranked,None,18,19
Gold,High School,18,13
Diamond,High School,20,7
Silver,None,18,10
Silver,Master,20,4
Gold,High School,29,4
Silver,Bachelor,35,2
Platinum,High School,18,14
Platinum,Bachelor,19,16
Gold,High School,23,2
Platinum,None,18,12
Gold,High School,20,3
Unranked,High School,22,8
Silver,High School,21,4
Silver,Doctor,27,3
Platinum,Bachelor,19,7
Bronze,High School,18,8
Platinum,High School,19,6
Silver,High School,23,3
Platinum,Master,28,13
Silver,High School,18,1
Platinum,High School,18,5
Silver,High School,22,3
Gold,Bachelor,20,5
Diamond,High School,18,8
Gold,Bachelor,31,4
Unranked,Bachelor,25,1
Gold,Bachelor,23,2
Platinum,High School,19,8
Bronze,Bachelor,18,12
Bronze,Bachelor,23,0
Platinum,High School,18,5
Platinum,High School,21,12
Gold,High School,19,14
Diamond,High School,19,7
Silver,Bachelor,27,4
Gold,High School,21,11
Diamond,Master,22,7
Diamond,High School,19,1
Silver,High School,18,15
Silver,High School,20,4
Platinum,High School,19,3
Gold,High School,21,1
Gold,High School,21,4
Gold,High School,21,0
Silver,High School,20,9
Diamond,High School,19,12
Platinum,High School,18,0
Gold,Master,26,6
Unranked,High School,23,9
Gold,High School,18,6
Bronze,High School,18,12
Platinum,High School,20,6
Silver,High School,18,3
Bronze,Bachelor,18,8
Silver,High School,19,3
Platinum,High School,20,8
Silver,High School,22,13
Gold,Master,24,7
Platinum,Bachelor,23,14
Gold,None,18,0
Unranked,High School,18,1
Silver,High School,24,10
Gold,None,18,5
Bronze,High School,28,3
Gold,High School,23,0
Silver,High School,18,0
Platinum,High School,19,3
Gold,High School,18,7
Diamond,Bachelor,24,16
Silver,High School,18,7
Platinum,High School,20,6
Gold,None,19,12
Bronze,High School,18,5
Bronze,Bachelor,28,6
Gold,High School,19,14
Bronze,High School,19,12
Platinum,High School,18,16
Silver,High School,22,6
Platinum,Bachelor,19,5
Diamond,High School,18,2
Platinum,High School,22,3
Gold,High School,22,5
Platinum,High School,18,3
Silver,None,18,1
Platinum,None,18,5
Bronze,High School,19,4
Platinum,High School,18,2
Platinum,High School,23,3
Diamond,High School,21,7
Diamond,High School,19,16
Gold,High School,29,0
Unranked,High School,21,5
Diamond,Master,29,2
Silver,Bachelor,21,3
Unranked,Bachelor,21,8
Platinum,High School,20,5
Gold,High School,20,5
Gold,High School,20,9
Gold,High School,19,1
Gold,High School,20,9
Platinum,None,19,2
Platinum,High School,18,2
Gold,High School,18,2
Platinum,High School,19,4
Gold,High School,19,8
Gold,High School,20,8
Platinum,High School,20,8
Diamond,High School,20,4
Platinum,High School,18,7
Silver,None,18,9
Gold,High School,24,5
Gold,High School,18,9
Gold,High School,19,9
Gold,High School,23,18
Gold,High School,19,2
Diamond,High School,24,3
Platinum,High School,20,2
Gold,High School,19,3
Gold,High School,21,6
Platinum,High School,19,17
Platinum,High School,21,7
Gold,Bachelor,20,0
Silver,None,18,0
Gold,Master,21,9
Silver,High School,21,5
Platinum,High School,21,10
Gold,High School,20,6
Gold,High School,20,1
Silver,Bachelor,23,0
Gold,None,18,1
Silver,Bachelor,25,2
Unranked,None,18,2
Silver,High School,19,6
Silver,None,18,4
Platinum,None,18,1
Gold,None,24,11
Gold,High School,19,1
Platinum,High School,19,3
Silver,High School,18,5
Platinum,None,18,3
Gold,None,18,17
Gold,High School,20,4
Diamond,High School,18,3
Bronze,High School,20,2
Platinum,High School,18,1
Platinum,High School,21,2
Platinum,High School,25,9
Silver,High School,19,5
Silver,High School,26,6
Gold,High School,18,14
Diamond,High School,20,2
Silver,High School,20,4
Gold,High School,21,5
Platinum,None,18,5
Silver,High School,18,9
Gold,High School,26,6
Platinum,High School,18,3
Platinum,Bachelor,21,10
Diamond,High School,19,11
Silver,High School,19,0
Diamond,High School,19,3
Silver,High School,21,3
Silver,Master,21,7
Platinum,High School,18,0
Silver,High School,18,2
Silver,High School,20,12
Diamond,High School,22,14
Platinum,High School,25,1
Gold,Bachelor,18,5
Gold,High School,18,4
Silver,High School,18,12
Silver,High School,22,6
Platinum,Bachelor,22,9
Diamond,High School,18,2
Gold,High School,20,2
Silver,High School,19,13
Gold,None,18,4
Silver,High School,19,6
Gold,Bachelor,21,14
Gold,High School,22,1
Gold,High School,18,0
Platinum,Bachelor,24,11
Gold,High School,20,1
Gold,High School,18,1
Gold,High School,21,4
Platinum,None,18,2
Platinum,High School,23,6
Diamond,Bachelor,18,5
Gold,High School,18,2
Gold,High School,21,1
Bronze,None,18,7
Gold,High School,18,2
Gold,Bachelor,30,1
Silver,High School,19,3
Platinum,Bachelor,21,0
Gold,High School,19,7
Platinum,High School,18,1
Platinum,High School,26,4
Silver,High School,20,10
Gold,High School,20,2
Diamond,High School,18,0
Gold,High School,20,5
Silver,High School,18,1
Bronze,High School,18,4
Gold,High School,25,6
Gold,High School,19,16
Gold,High School,33,12
Silver,None,18,0
Gold,Bachelor,22,2
Silver,High School,25,11
Silver,None,18,5
Gold,Bachelor,20,0
Unranked,High School,20,12
Bronze,High School,22,2
Silver,High School,21,7
Silver,High School,19,3
Platinum,Master,32,9
Platinum,High School,21,9
Platinum,None,18,17
Silver,High School,19,0
Silver,Bachelor,22,1
Gold,High School,20,2
Platinum,Bachelor,24,3
Platinum,High School,18,0
Bronze,Master,28,0
Bronze,High School,18,6
Silver,High School,19,2
Platinum,Bachelor,18,4
Silver,High School,25,12
Silver,High School,22,2
Platinum,High School,21,7
Platinum,High School,20,5
Diamond,High School,18,4
Bronze,High School,19,6
Diamond,High School,20,11
Platinum,High School,20,2
Platinum,High School,19,2
Platinum,High School,18,19
Gold,High School,20,3
Silver,Bachelor,23,6
Silver,Bachelor,21,0
Silver,Bachelor,30,0
Gold,High School,18,4
Platinum,High School,23,7
Gold,Master,20,8
Silver,Bachelor,31,0
Silver,High School,18,5
Unranked,Bachelor,27,4
Diamond,Master,28,3
Gold,High School,25,2
Gold,Bachelor,24,7
Gold,High School,19,4
Silver,High School,24,6
Platinum,High School,22,12
Platinum,Bachelor,23,0
Diamond,High School,20,3
Gold,High School,19,3
Silver,High School,20,4
Silver,High School,19,15
Platinum,High School,22,0
Gold,High School,20,13
Gold,High School,22,0
Gold,None,18,4
Platinum,High School,21,9
Silver,High School,19,6
Silver,High School,19,1
Gold,High School,19,1
Gold,High School,18,1
Silver,High School,22,3
Platinum,High School,23,2
Silver,High School,18,4
Gold,High School,28,8
Platinum,Bachelor,26,3
Platinum,High School,21,10
Bronze,Bachelor,30,4
Silver,High School,21,13
Platinum,High School,19,5
Silver,Bachelor,24,0
Platinum,High School,18,3
Diamond,Master,22,6
Platinum,High School,30,10
Diamond,High School,23,3
Diamond,High School,22,9
Gold,Bachelor,33,4
Diamond,High School,19,1
Diamond,High School,20,2
Silver,High School,19,0
Diamond,High School,18,5
Platinum,Bachelor,28,8
Platinum,High School,19,3
Silver,High School,20,14
Gold,Bachelor,23,3
Diamond,High School,19,4
Unranked,High School,20,5
Diamond,High School,23,3
Platinum,None,18,15
Unranked,High School,21,6
Diamond,Master,29,0
Silver,Bachelor,23,13
Platinum,High School,21,1
Platinum,None,18,2
Platinum,None,22,2
Platinum,High School,22,4
Platinum,High School,18,3
Silver,High School,20,18
Silver,High School,19,7
Diamond,High School,20,11
Silver,High School,18,7
Gold,Master,23,6
Silver,Bachelor,19,5
Platinum,High School,20,5
Gold,High School,21,3
Gold,High School,20,2
Platinum,High School,18,4
Silver,Bachelor,23,4
Silver,Bachelor,25,6
Platinum,High School,19,4
Bronze,High School,18,5
Diamond,High School,22,2
Gold,High School,21,0
Diamond,High School,18,10
Diamond,None,18,3
Silver,High School,18,6
Silver,Bachelor,35,2
Diamond,Bachelor,27,4
Silver,High School,20,11
Platinum,High School,19,1
Gold,High School,20,4
Platinum,High School,20,3
Diamond,High School,18,7
Unranked,High School,18,16
Platinum,High School,18,6
Gold,High School,20,4
Platinum,None,18,12
Platinum,High School,18,4
Platinum,High School,22,3
Diamond,High School,21,13
Gold,None,18,3
Platinum,High School,20,3
Gold,High School,21,13
Gold,High School,19,13
Platinum,Bachelor,32,14
Gold,Bachelor,21,4
Platinum,High School,22,8
Platinum,High School,18,4
Diamond,Master,26,1
Gold,None,18,3
Bronze,Bachelor,26,6
Unranked,High School,20,17
Diamond,None,18,13
Platinum,High School,19,12
Silver,None,18,2
Platinum,High School,19,10
Silver,High School,18,2
Gold,High School,20,10
Bronze,High School,29,2
Platinum,High School,21,5
Diamond,None,19,13
Silver,High School,19,2
Gold,High School,19,13
Platinum,Bachelor,26,14
Gold,High School,19,2
Unranked,High School,23,9
Silver,High School,21,3
Platinum,High School,18,4
Platinum,High School,19,1
Gold,High School,20,3
Diamond,High School,24,4
Diamond,High School,19,2
Silver,High School,21,13
Silver,High School,25,12
Platinum,High School,20,1
Platinum,High School,18,5
Silver,None,18,8
Gold,Master,25,1
Bronze,Bachelor,22,5
Platinum,Bachelor,22,3
Platinum,High School,18,3
Gold,None,18,17
Unranked,High School,20,2
Gold,None,18,7
Unranked,High School,20,12
Diamond,Bachelor,19,5
Platinum,High School,18,5
Gold,Bachelor,18,2
Platinum,High School,24,2
Gold,Bachelor,26,8
Silver,Bachelor,21,3
Gold,Bachelor,25,3
Platinum,High School,26,3
Unranked,High School,19,8
Platinum,Master,26,8
Gold,High School,19,7
Platinum,High School,20,1
Platinum,Bachelor,23,3
Gold,Bachelor,25,2
Gold,High School,25,6
